file,speaker,label
1_chunk0.wav,Alec Guinness,spoof
3_chunk0.wav,Alec Guinness,spoof
9_chunk0.wav,Alec Guinness,bona-fide
34_chunk0.wav,Alec Guinness,spoof
47_chunk0.wav,Alec Guinness,spoof
61_chunk0.wav,Alec Guinness,spoof
82_chunk0.wav,Alec Guinness,bona-fide
107_chunk0.wav,Alec Guinness,spoof
136_chunk0.wav,Alec Guinness,spoof
155_chunk0.wav,Alec Guinness,spoof
168_chunk0.wav,Alec Guinness,bona-fide
174_chunk0.wav,Alec Guinness,spoof
215_chunk0.wav,Alec Guinness,spoof
265_chunk0.wav,Alec Guinness,spoof
275_chunk0.wav,Alec Guinness,spoof
349_chunk0.wav,Alec Guinness,spoof
375_chunk0.wav,Alec Guinness,spoof
380_chunk0.wav,Alec Guinness,spoof
399_chunk0.wav,Alec Guinness,spoof
481_chunk0.wav,Alec Guinness,spoof
488_chunk0.wav,Alec Guinness,spoof
497_chunk0.wav,Alec Guinness,bona-fide
519_chunk0.wav,Alec Guinness,spoof
544_chunk0.wav,Alec Guinness,spoof
561_chunk0.wav,Alec Guinness,spoof
562_chunk0.wav,Alec Guinness,spoof
579_chunk0.wav,Alec Guinness,spoof
614_chunk0.wav,Alec Guinness,spoof
642_chunk0.wav,Alec Guinness,bona-fide
704_chunk0.wav,Alec Guinness,spoof
707_chunk0.wav,Alec Guinness,bona-fide
764_chunk0.wav,Alec Guinness,spoof
765_chunk0.wav,Alec Guinness,bona-fide
783_chunk0.wav,Alec Guinness,spoof
834_chunk0.wav,Alec Guinness,spoof
924_chunk0.wav,Alec Guinness,spoof
1073_chunk0.wav,Alec Guinness,spoof
1087_chunk0.wav,Alec Guinness,spoof
1097_chunk0.wav,Alec Guinness,spoof
1104_chunk0.wav,Alec Guinness,bona-fide
1121_chunk0.wav,Alec Guinness,spoof
1131_chunk0.wav,Alec Guinness,bona-fide
1136_chunk0.wav,Alec Guinness,spoof
1150_chunk0.wav,Alec Guinness,spoof
1169_chunk0.wav,Alec Guinness,spoof
1170_chunk0.wav,Alec Guinness,spoof
1203_chunk0.wav,Alec Guinness,spoof
1228_chunk0.wav,Alec Guinness,spoof
1229_chunk0.wav,Alec Guinness,spoof
1246_chunk0.wav,Alec Guinness,spoof
1263_chunk0.wav,Alec Guinness,spoof
1271_chunk0.wav,Alec Guinness,bona-fide
1315_chunk0.wav,Alec Guinness,spoof
1322_chunk0.wav,Alec Guinness,bona-fide
1335_chunk0.wav,Alec Guinness,spoof
1343_chunk0.wav,Alec Guinness,spoof
1395_chunk0.wav,Alec Guinness,bona-fide
1421_chunk0.wav,Alec Guinness,bona-fide
1444_chunk0.wav,Alec Guinness,spoof
1470_chunk0.wav,Alec Guinness,spoof
1484_chunk0.wav,Alec Guinness,spoof
1508_chunk0.wav,Alec Guinness,spoof
1543_chunk0.wav,Alec Guinness,spoof
1571_chunk0.wav,Alec Guinness,bona-fide
1609_chunk0.wav,Alec Guinness,spoof
1612_chunk0.wav,Alec Guinness,bona-fide
1638_chunk0.wav,Alec Guinness,spoof
1644_chunk0.wav,Alec Guinness,spoof
1674_chunk0.wav,Alec Guinness,spoof
1699_chunk0.wav,Alec Guinness,spoof
1711_chunk0.wav,Alec Guinness,spoof
1712_chunk0.wav,Alec Guinness,bona-fide
1759_chunk0.wav,Alec Guinness,spoof
1771_chunk0.wav,Alec Guinness,spoof
1776_chunk0.wav,Alec Guinness,spoof
1900_chunk0.wav,Alec Guinness,spoof
1920_chunk0.wav,Alec Guinness,bona-fide
2006_chunk0.wav,Alec Guinness,spoof
2030_chunk0.wav,Alec Guinness,spoof
2076_chunk0.wav,Alec Guinness,spoof
2078_chunk0.wav,Alec Guinness,spoof
2115_chunk0.wav,Alec Guinness,bona-fide
2130_chunk0.wav,Alec Guinness,spoof
2139_chunk0.wav,Alec Guinness,bona-fide
2143_chunk0.wav,Alec Guinness,spoof
2183_chunk0.wav,Alec Guinness,spoof
2278_chunk0.wav,Alec Guinness,bona-fide
2301_chunk0.wav,Alec Guinness,spoof
2320_chunk0.wav,Alec Guinness,spoof
2334_chunk0.wav,Alec Guinness,spoof
2358_chunk0.wav,Alec Guinness,spoof
2370_chunk0.wav,Alec Guinness,spoof
